sku,fixture_type,collection,constructed_from,height,width_diameter,projection,bulb_type,max_wattage,voltage,shade_material,finish,weight,dimmable,ip_rating,cable_length
TWL174,Wall Light,Gergei Erdei,Cast composite with decorative finish,"330mm | 13""","402mm | 16""","125mm | 5""",2 x 450lm (5w) LED E14 Candle,,220-240 V,Paper and Chalk raffia binding,Anziano White or Gilted Verdigris,1.4kg | 3 1/4lbs,,,
VLB93,Lamp,Gergei Erdei,Cast composite and metal with decorative finish,"475mm | 18 3/4""","508mm | 20""","508mm | 20""",1 x 700lm (8w) LED E27 GLS,,220-240 V,Oyster linen with Espresso leather binding,New Bronze and Distressed Gold,2.8kg | 6 1/4lbs,,,
TWL52S,,,,,,,,,,,,,,,
VLB72S,Table Lamp,Abstraction,Cast composite with decorative finish,"430mm | 17""","170mm | 6 3/4""",,1 x 700lm (8w) LED E27 GLS,,220-240 V,Natural Linen with Cream Card lining,Dark King Copper and King Copper,3 kg | 5 3/4 lbs,,,
VLB91,Table Lamp,Abstraction,Cast composite with decorative finish,"465mm | 18 1/2""","120mm | 4 3/4""",,1 x 700lm (8w) LED E27 GLS,,220-240 V,Natural Linen with Cream Card lining,Burnt Stone,4 kg | 7 1/4 lbs,,,
MCL112,Ceiling Light,Abstraction,Cast Jesmonite and metal with Decorative finish,"955mm | 37 3/4""","840mm | 33 1/4""","515mm | 20 1/2""",5 x 320lm (3w) LED G9 Capsule,,220-240 V,,Decorative finish,10 kg | 22 1/4 lbs,,,
VLB89,Table Lamp,Abstraction,Cast composite with decorative finish,"345mm | 13 3/4""","155mm | 6 1/4""",,1 x 700lm (8w) LED E27 GLS,,220-240 V,Natural Linen with Cream Card lining,Hand-painted,3 kg | 5 3/4 lbs,,,
SLB78,Table Lamp,Abstraction,Forged steel with decorative finish,"565mm | 22 1/4""","230mm | 9 1/4""",,1 x 700lm (8w) LED E27 GLS,,220-240 V,Natural Linen with Cream Card lining,Bronzed,3 kg | 5 3/4 lbs,,,
TWL170,Wall Light,Abstraction,Metal,"570mm | 22 1/2""","400mm | 15 3/4""","225mm | 9""",6 x LED Diode,,220-240 V,,Hand-painted,3 kg | 5 3/4 lbs,,,
VLB90,Table Lamp,Abstraction,Cast composite with decorative finish,"465mm | 18 1/2""","110mm | 4 1/2""",,1 x 700lm (8w) LED E27 GLS,,220-240 V,Natural Linen with Cream Card lining,Decorative finish,3 kg | 6 1/4 lbs,,,
TWL171,Wall Light,Abstraction,Cast composite with decorative finish,"200mm | 8""","90mm | 3 3/4""","130mm | 5 1/4""",2 x 320lm (3w) LED G9 Capsule,,220-240 V,,Hand-painted gold interior,1 kg | 1 1/2 lbs,,,
MCL113,Ceiling Light,Abstraction,Metal,"1195mm | 47 1/4""","905mm | 35 3/4""","905mm | 35 3/4""",12 x LED Diode,,220-240 V,,Hand-painted,5 kg | 11 1/4 lbs,,,
TWL172,Wall Light,Abstraction,Cast composite with decorative finish,"400mm | 15 3/4"" (Left) 430mm | 17"" (Right)","230mm | 9 1/4""","120mm | 4 3/4""",1 x 320lm (3w) LED G9 Capsule,,220-240 V,,Burnt Stone,2 kg | 4 1/2 lbs,,,
MCL111,Ceiling Light,Abstraction,Cast Jesmonite and metal with Decorative finish,,"1450mm | 57 1/4""","390mm | 15 1/2""",8 x 320lm (3w) LED G9 Capsule,,220-240 V,,Painted finish of your choice,7 kg | 15 1/2 lbs,,,
MCL114,Ceiling Light,Abstraction,Forged steel with decorative finish,,"1375mm | 54 1/4""","690mm | 27 1/4""",LED Supplied Fitted,,220-240 V,,Bronzed,19 kg | 42 lbs,,,
GLB100,Table Lamp,Abstraction,Blown glass with brass or nickel plated brass,"335mm | 13 1/4""","180mm | 7 1/4""",,1 x 700lm (8w) LED E27 GLS,,220-240 V,Natural Linen and Cream Card lining,,6 kg | 13 1/4 lbs,,,
TWL173,Wall Light,Abstraction,Cast composite with decorative finish,"150mm | 6""","230mm | 9 1/4""","105mm | 4 1/4""",320lm (3.2w) LED G9 Capsule,,,,Autumn Gold,,,,
VFL10,Floor Lamp,Abstraction,Cast composite with decorative finish,"1655mm | 65 1/4""","280mm | 11 1/4""",,LED Supplied Fitted,,220-240 V,,Light New Bronze with Bright Gold,11 kg | 24 1/2 lbs,,,
TWL161U,Wall Light,Spring 24,Cast composite with decorative finish,"280mm | 11 1/4""","200mm | 8""","250mm | 10""",320lm (3.2w) LED G9 Capsule,,,,,2.5kg | 5.75lbs,,,
CLB64,Table Lamp,Spring 25,Glazed ceramic,"310mm | 12 1/4""","240mm | 9 1/2""",,700lm (8w) LED E27 GLS,,220-240 V,Natural Linen and Cream Card lining,"Available in glazes including Almond, Capri, Pudding, Safari or Tigers Eye",4kg | 9 lbs,,,
CLB62,Table Lamp,Spring 25,Glazed ceramic,"440mm | 17 1/4""","320mm | 12 1/2""",,700lm (8w) LED E27 GLS,,220-240 V,Natural Linen and Cream Card lining,,5.5kg | 12 1/4 lbs,,,
TWL169S,Wall Light,Spring 25,Glazed ceramic,"400mm | 15 3/4""","350mm | 13 3/4""","135mm | 5 1/2""",75lm (1w) LED Module Supplied Fitted,,220-240 V,,,3.5kg | 7 3/4 lbs,,,
TWL166,Wall Light,Spring 25,Glazed ceramic,"440mm | 17 1/4""","220mm | 8 3/4""","100mm | 4""",75lm (1w) LED Module Supplied Fitted,1W,220-240 V,Glazed ceramic,Glazed ceramic,1.75kg | 4 lbs,,,
TWL168S,Wall Light,Spring 25,Glazed ceramic,"440mm | 17 1/4""","220mm | 8 3/4""","100mm | 4""",75lm (1w) LED Module Supplied Fitted,,220-240 V,,,1.75kg | 4 lbs,,,
