sku,pattern,weave,width,repeat_h,repeat_v,weight,martindale,finish,composition,usage,fire_rating
3170002,"Print Pattern, Contemporary / Modern, Abstract",,54.00 in (137.16 cm),54.00 in (137.16 cm),0.00 in (0.00 cm),12.39 Ounces per Linear Yard,,,100% Linen,"Bedding, Drapery, Multipurpose",UFAC Class I / NFPA 260
3170202,"Print Pattern, Contemporary / Modern, Abstract",,54.00 in (137.16 cm),54.00 in (137.16 cm),0.00 in (0.00 cm),12.39 Ounces per Linear Yard,,"Reversible, Exclusive Pattern, Dry Clean Only",100% Linen,"Bedding, Drapery, Multipurpose",UFAC Class I / NFPA 260
2505302,"Print Pattern, Contemporary / Modern, Abstract",,54.00 in (137.16 cm),54.00 in (137.16 cm),0.00 in (0.00 cm),12.39 Ounces per Linear Yard,,"Reversible, Dry Clean Only",100% Linen,"Bedding, Drapery, Multipurpose",UFAC Class I / NFPA 260
2505102,"Print Pattern, Contemporary / Modern, Abstract",,54.00 in (137.16 cm),54.00 in (137.16 cm),0.00 in (0.00 cm),12.39 Ounces per Linear Yard,,"Reversible, Dry Clean Only",100% Linen,"Bedding, Drapery, Multipurpose",UFAC Class I / NFPA 260
11037415,Organically abstract allover design,Velours,141 cm,34 cm,51 cm,,60000,,"Ground: 100% Cotton, Pile: 100% Viscose",,
11038664,tone-on-tone,jacquard,133 cm,62 cm,62 cm,,100000,Not washable,"97% Polyester, 3% Acrylic",decorative upholstery,"BS 5852 part 1 source 0, CAL TB 117, EN 1021-1, NFPA 260"
11039894,,woven,138 cm,,,,100000,,"80% Polyvinyl chloride, 20% Polyester",Suitable for outdoor,"BS 5852 part 1 source 0_1, CAL TB 117, EN 1021-1_-2, NFPA 260"
11040884,Jacquard,Bouclé Meets Satin,142 cm,,,,45000,,"50% Cotton, 22% Fleece wool, 18% Polyamide, 10% Polyester",Upholstery,
11041991,Tweed,Flat weave,141 cm,,,,35000,Easy care,"62% Acrylic, 35% Polyester (recycled), 3% Polyester",Upholstery,"BS 5852 part 1 source 0, CAL TB 117, EN 1021-1, NFPA 260"
11042886,Stripe,Velours,146 cm,1 cm,,,50000,Easy care,"Ground: 84% Polyester, 16% Acrylic; Pile: 100% Acrylic",Upholstery,"BS 5852 part 1 source 0, CAL TB 117, EN 1021-1, NFPA 260"
11043884,Generous block stripes,Satin warp,140 cm,23 cm,10 cm,,,,"45% Viscose, 25% Cotton, 17% Polyester, 13% Flax (linen)","Curtain, room divider, wall covering",
11044173,Woven Poetry,Jacquard,145 cm,97 cm,97 cm,,,,"49% Polyester, 39% Cotton, 12% Silk",,
11045881,Linear Interplay,jacquard,142 cm,46 cm,25 cm,,,,"57% Viscose, 20% Polyester, 13% Cotton, 10% Flax (linen)",,
11046344,,,300 cm,,,,,,100% Polyester,Room high | washable,
11047991,Layered Transparency,Layered Transparency,310 cm,,,,,,100% Polyester,Room high | washable,
11048891,Transparent Blossoms,Scherli,330 cm,111 cm,98 cm,,,,"41% Flax (linen), 29% Cotton, 19% Polyester, 5% Viscose, 4% Acrylic, 2% Polyamide",Decorative fabric,
11049991,Check weave,Woven Crosshatch,315 cm,27 cm,20 cm,,,,"57% Flax (linen), 43% Cotton",Room high | washable,
11050884,zigzag,,300 cm,46 cm,46 cm,,,,"Embroidery: 60% Polyester, 25% Cotton, 15% Flax (linen); Ground: 53% Flax (linen), 28% Cotton, 19% Polyester",Room high | washable,
11051812,semi-transparent grid weave,leno,300 cm,,,,,gentle finish,100% Polyester,Room high | washable,
21291194,,,147 cm,83 cm,70 cm,,,,"51% Cotton, 49% Flax (linen)",,
19602880,,open-weave voile,300 cm,,,,,stone-wash,100% linen,Room high | washable,
19626812,striped,,290 cm,19 cm,,,,soft as absorbent cotton,"54% Flax (linen), 46% Cotton",Room high,
19625880,,,300 cm,34 cm,32 cm,,,Stone-wash,"100% Flax (linen), Embroidery: 90% Acrylic, 10% Polyamide",,
19624235,,haute-couture tweed,143 cm,,,,80000,washed and tumbled,"37% Flax (linen), 36% Viscose, 24% Acrylic, 2% Polyester, 1% Polyamide",,"BS 5852 part 1 source 0, CAL TB 117, EN 1021-1, NFPA 260"
19623875,Striped,,300 cm,6 cm,6 cm,,,Washed and tumbled,"65% Flax (linen), 32% Acrylic, 3% Polyester",Modern interiors and large windows,
19622880,Inspired by traditional basket weaving,Inspired by traditional basket weaving,297 cm,,,,,Washed and tumbled,"73% Flax (linen), 25% Acrylic, 2% Polyester",Modern interiors and large windows,
19621883,Broad-striped,Woven,305 cm,,37 cm,,,Maltinto artisanal dyeing process,"68% Cotton, 26% Flax (linen), 5% Viscose, 1% Polyester",,
19620880,,jacquard,320 cm,12 cm,10 cm,,,basket tumbler,"97% Flax (linen), 3% Polyester",,
FAB-FAB-8099AEA2,,,,,,,,,,,
3170001,"Print Pattern, Contemporary / Modern, Abstract",,54.00 in (137.16 cm),54.00 in (137.16 cm),0.00 in (0.00 cm),12.39 Ounces per Linear Yard,,Reversible,100% Linen,"Bedding, Drapery, Multipurpose",UFAC Class I / NFPA 260
2505301,"Print Pattern, Contemporary / Modern, Abstract",,54.00 in (137.16 cm),54.00 in (137.16 cm),0.00 in (0.00 cm),12.39 Ounces per Linear Yard,"Exceeds 51,000 Double Rubs (Wyzenbeek Method)","Reversible, Dry Clean Only",100% Linen,"Bedding, Drapery, Multipurpose",UFAC Class I / NFPA 260
3170201,"Print Pattern, Contemporary / Modern, Abstract",,54.00 in (137.16 cm),54.00 in (137.16 cm),0.00 in (0.00 cm),12.39 Ounces per Linear Yard,"Exceeds 51,000 Double Rubs (Wyzenbeek Method)","Reversible, Dry Clean Only",100% Linen,"Bedding, Drapery, Multipurpose",UFAC Class I / NFPA 260
2505101,"Print Pattern, Contemporary / Modern, Abstract",,54.00 in (137.16 cm),54.00 in (137.16 cm),0.00 in (0.00 cm),12.39 Ounces per Linear Yard,,"Reversible, Dry Clean Only",100% Linen,"Bedding, Drapery, Multipurpose",UFAC Class I / NFPA 260
2478811,Solids / Small Scale Patterns,Wovens,55.00 in (139.70 cm),0.00 in (0.00 cm),0.00 in (0.00 cm),31.54 Ounces per Linear Yard,"Passes 35,000 Martindale Tst",,"53% Acrylic, 47% Polyester",Upholstery,UFAC Class I / NFPA 260
2478911,Texture Plain,Wovens,55.00 in (139.70 cm),0.00 in (0.00 cm),0.00 in (0.00 cm),31.54 Ounces per Linear Yard,"Passes 35,000 Martindale Tst",,"53% Acrylic, 47% Polyester",Upholstery,UFAC Class I / NFPA 260
3156203,"Solid, Texture Plain",,55.00 in (139.70 cm),0.00 in (0.00 cm),0.00 in (0.00 cm),31.99 Ounces per Linear Yard,"Passes 30,000 Martindale Tst",,"58% Acrylic, 12% Viscose, 12% Linen, 12% Cotton, 6% Polyester",Upholstery,UFAC Class I / NFPA 260
3156303,"Solid, Texture Plain",,55.00 in (139.70 cm),0.00 in (0.00 cm),0.00 in (0.00 cm),31.99 Ounces per Linear Yard,"Passes 30,000 Martindale Tst",,"58% Acrylic, 12% Viscose, 12% Linen, 12% Cotton, 6% Polyester",Upholstery,UFAC Class I / NFPA 260
3156202,"Solid, Texture Plain",,55.00 in (139.70 cm),0.00 in (0.00 cm),0.00 in (0.00 cm),31.99 Ounces per Linear Yard,"Passes 30,000 Martindale Tst",,"58% Acrylic, 12% Viscose, 12% Linen, 12% Cotton, 6% Polyester",Upholstery,UFAC Class I / NFPA 260
3156302,"Solid, Texture Plain",,55.00 in (139.70 cm),0.00 in (0.00 cm),0.00 in (0.00 cm),31.99 Ounces per Linear Yard,"Passes 30,000 Martindale Tst",,"58% Acrylic, 12% Viscose, 12% Linen, 12% Cotton, 6% Polyester",Upholstery,UFAC Class I / NFPA 260
3156201,"Solid, Texture Plain",,55.00 in (139.70 cm),0.00 in (0.00 cm),0.00 in (0.00 cm),31.99 Ounces per Linear Yard,"Passes 30,000 Martindale Tst",,"58% Acrylic, 12% Viscose, 12% Linen, 12% Cotton, 6% Polyester",Upholstery,"UFAC Class I / NFPA 260, CA TB 117-2013"
3156301,"Solid, Texture Plain",,55.00 in (139.70 cm),0.00 in (0.00 cm),0.00 in (0.00 cm),31.99 Ounces per Linear Yard,"Passes 30,000 Martindale Tst",,"58% Acrylic, 12% Viscose, 12% Linen, 12% Cotton, 6% Polyester",Upholstery,UFAC Class I / NFPA 260
3015204,Texture Plain,,55.00 in (139.70 cm),0.00 in (0.00 cm),0.00 in (0.00 cm),25.39 Ounces per Linear Yard,,Soil & Stain Repellent Finish,100% Solution Dye Acrylic,Indoor / Outdoor,
3015304,Texture Plain,,55.00 in (139.70 cm),0.00 in (0.00 cm),0.00 in (0.00 cm),25.39 Ounces per Linear Yard,,Soil & Stain Repellent Finish,100% Solution Dye Acrylic,Indoor / Outdoor,
3015203,Texture Plain,,55.00 in (139.70 cm),0.00 in (0.00 cm),0.00 in (0.00 cm),25.39 Ounces per Linear Yard,,Soil & Stain Repellent Finish,100% Solution Dye Acrylic,Indoor / Outdoor,
3015303,Texture Plain,,55.00 in (139.70 cm),0.00 in (0.00 cm),0.00 in (0.00 cm),25.39 Ounces per Linear Yard,,Soil & Stain Repellent Finish,100% Solution Dye Acrylic,Indoor / Outdoor,
3015202,Texture Plain,,55.00 in (139.70 cm),0.00 in (0.00 cm),0.00 in (0.00 cm),25.39 Ounces per Linear Yard,,Soil & Stain Repellent Finish,100% Solution Dye Acrylic,Indoor / Outdoor,
3015302,Texture Plain,,55.00 in (139.70 cm),0.00 in (0.00 cm),0.00 in (0.00 cm),25.39 Ounces per Linear Yard,,Soil & Stain Repellent Finish,100% Solution Dye Acrylic,Indoor / Outdoor,
3015201,Texture Plain,,55.00 in (139.70 cm),0.00 in (0.00 cm),0.00 in (0.00 cm),25.39 Ounces per Linear Yard,"Exceeds 42,000 Double Rubs (Wyzenbeek Method)",Soil & Stain Repellent Finish,100% Solution Dye Acrylic,Indoor / Outdoor,
