sku,variant_name,width,depth,height,seat_height,arm_height,price,options
AME BANQ,"48"" Banquette","48""","29""","45""","21.25""",,,
AME BANQ,"60"" Banquette","60""","29""","45""","21.25""",,,
AME BANQ,"72"" Banquette","72""","29""","45""","21.25""",,,
AME BANQ,"86"" Banquette","86""","29""","45""","21.25""",,,
AME 0521,,"23.5""","29""","44.5""","20""",,,Fabric or Leather options available
ADR OTTO,48/48 Ottoman,"48""","48""","17""","17""",,,
ADR OTTO,54/24 Ottoman,"54""","24""","17""","17""",,,
ADR OTTO,66/24 Ottoman,"66""","24""","17""","17""",,,
ADR OTTO,72/24 Ottoman,"72""","24""","17""","17""",,,
ADR OTTO,80/24 Ottoman,"80""","24""","17""","17""",,,
ADR OTTO,92/24 Ottoman,"92""","24""","17""","17""",,,
ADR OTTO,54/32 Ottoman,"54""","32""","17""","17""",,,
ADR OTTO,66/32 Ottoman,"66""","32""","17""","17""",,,
ADR OTTO,72/32 Ottoman,"72""","32""","17""","17""",,,
ADR OTTO,80/32 Ottoman,"80""","32""","17""","17""",,,
ADR OTTO,92/32 Ottoman,"92""","32""","17""","17""",,,
AME CNR BANQ,"86"" LAF/RAF w/Return","86""","29""","45""","21.25""",,,
AME CNR BANQ,"84"" LAF/RAF","84""","29""","45""","21.25""",,,
AME CNR BANQ,"72"" LAF/RAF w/Return","72""","29""","45""","21.25""",,,
AME CNR BANQ,"70"" LAF/RAF","70""","29""","45""","21.25""",,,
AME CNR BANQ,"60"" LAF/RAF w/Return","60""","29""","45""","21.25""",,,
AME CNR BANQ,"58"" LAF/RAF","58""","29""","45""","21.25""",,,
ELL 1012,Standard,"45""","40""","32.5""","19""",,,
ART ROCK,Rocker w/Arms,"32""","37.75""","32.5""","19""","24""",,Exposed wood arms
ART ROCK,Armless Rocker,"29""","37.75""","32.5""","19""",,,Minimalist armless design
VER-FUR-79702A0D,LAF/RAF Curved Back,"86""","50""","34""","19""","24""",,
VER-FUR-79702A0D,Armless Curved Back,"90""","50""","34""","19""",,,
VER-FUR-79702A0D,Armless Straight Back,"60""","43""","34""","19""",,,
ELL OTTO,"36"" Round Ottoman","36"" DIA",,"18.5"" H","18.5"" H",,,
ELL OTTO,"45"" Round Ottoman","45"" DIA",,"18.5"" H","18.5"" H",,,
BRI COFFEE,60/60 Coffee Table,"60""","61""","18""",,,,"4.5"" H to Shelf"
BRI COFFEE,48/48 Coffee Table,"48""","49""","18""",,,,"4.5"" H to Shelf"
BRI COFFEE,36/36 Coffee Table,"36""","37""","18""",,,,"4.5"" H to Shelf"
BRI CONSOLE,"96"" Console","22""",,"33""",,,,
BRI CONSOLE,"84"" Console","22""",,"33""",,,,
BRI CONSOLE,"72"" Console","22""",,"33""",,,,
VER-FUR-123CEAB6,Standard Footboard | Queen,"80""","111""","47""",,,,
VER-FUR-123CEAB6,Standard Footboard | King,"96""","111""","47""",,,,
VER-FUR-123CEAB6,Standard Footboard | Cal King,"92""","115""","47""",,,,
VER-FUR-123CEAB6,Bench Footboard | Queen,"80""","121""","47""",,,,
VER-FUR-123CEAB6,Bench Footboard | King,"96""","121""","47""",,,,
VER-FUR-123CEAB6,Bench Footboard | Cal King,"92""","125""","47""",,,,
CRW SECT,LAF/RAF XL,"103""","46.5""","29.5""",,,,
CRW SECT,LAF/RAF Sofa,"91""","46.5""","29.5""",,,,
CRW SECT,LAF/RAF Condo,"79""","46.5""","29.5""",,,,
CRW SECT,LAF/RAF Chair,"46.5""","46.5""","29.5""",,,,
CRW SECT,"72"" Armless Loveseat","72""","46.5""","29.5""",,,,
CRW SECT,"60"" Armless Chair & 1/2","60""","46.5""","29.5""",,,,
CRW SECT,"44"" Armless Chair","44""","46.5""","29.5""",,,,
CRW SECT,Corner Unit,"46.5""","46.5""","29.5""",,,,
CRW SECT,LAF/RAF Chaise & 1/2,"59""","76""","29.5""",,,,
CRW SECT,LAF Chaise,"46.5""","76""","29.5""",,,,
VER-FUR-39E64376,Low Headboard | Queen,"78.5""","94""","43""",,,,
VER-FUR-39E64376,Low Headboard | King,"94.5""","94""","43""",,,,
VER-FUR-39E64376,Low Headboard | Cal King,"90.5""","98""","43""",,,,
VER-FUR-39E64376,Tall Headboard | Queen,"78.5""","94""","55.5""",,,,
VER-FUR-39E64376,Tall Headboard | King,"94.5""","94""","55.5""",,,,
VER-FUR-39E64376,Tall Headboard | Cal King,"90.5""","98""","55.5""",,,,
BRI DESK,Right Side Facing Desk,"72""","39""","32.5""",,,,"25.5"" H To Shelf"
BRI DESK,Left Side Facing Desk,"72""","39""","32.5""",,,,"25.5"" H To Shelf"
BRI SIDE,Right Facing Side Table,"35""","22""","27""",,,,
BRI SIDE,Left Facing Side Table,"35""","22""","27""",,,,
CHL BENCH,"48"" Bench","48""","18""","20""","20""",,,
CHL BENCH,"60"" Bench","60""","18""","20""","20""",,,
CHL BENCH,"72"" Bench","72""","18""","20""","20""",,,
CHL BENCH,"86"" Bench","86""","18""","20""","20""",,,
COU 1022,,"30.75""","41""","40.5""","20""","25""",,
COS 0500,Cosmo Club Chair,"33.75""","32.5""","32""","20""","17""",,
COM 9020,Como Table Lamp,,,"42""",,,,in-house water based finishes
VER-FUR-37AF0949,Queen,"62.5""","90.5""","50""",,,,
VER-FUR-37AF0949,King,"78.5""","90.5""","50""",,,,
VER-FUR-37AF0949,California King,"74.5""","94.5""","50""",,,,
COM 9010,Option I,"7"" W DIA",,"72"" H",,,,"Lampshade Dimensions: 24"" DIA Bottom x 22"" Top x 18"" H"
COM 9010,Option II,"7"" W DIA",,"72"" H",,,,"Lampshade Dimensions: 24"" DIA Bottom x 22"" Top x 24"" H"
CLO CHAISE,LAF/RAF Freestanding Chaise,"42""","67""","35.5""","18""","27""",,
CLO CHAISE,Chaise (2 Arm),"45.5""","67""","35.5""","18""","27""",,
CHA 0512,,"38""","36""","34.5""","19""",,,
CHA 1000,Charlotte Chair,"40""","43""","34.5""","17""","24.5""",,Harvest Linen Rust
