sku,pattern,roll_width,roll_length,repeat_h,repeat_v,substrate,installation,washability,fire_rating
97912,Drop match,"120 cm (47.24"")",,"110 cm (43.31"")","55 cm (21.65"")",Non-woven backing,Paste the wall,Spongeable during hanging (dab away damp glue),"EU: B-s1, d0; US: Class A"
97830,Ramage,"119 cm (46.85"")",,"181 cm (71.26"")","90.5 cm (35.63"")",Non-woven backing,Paste the wall,Spongeable during hanging (dab away damp glue),"EU: C-s1, d0; US: Class A"
97840,Straight match,"126 cm (49.61"")",,"96 cm (37.80"")",,Non-woven backing,Paste the wall,Spongeable during hanging (dab away damp glue),"EU: C-s1, d0; US: Class A"
97850,Straight match,,,300 cm,,Non-woven backing,Paste the wall,Spongeable during hanging (dab away damp glue),"EU: B-s1, d0; US: Class A"
97860,Escapade,,,300 cm,,non-woven backing,Paste the wall,Spongeable during hanging (dab away damp glue),"EU: B-s1, d0; US: Class A"
97870,Floraison,,,300 cm,,Non-woven,Paste the wall,Spongeable during hanging,"EU: B-s1, d0; US: Class A"
97881,Récolte des Fleurs,,,300 cm,,Non-woven,Paste the wall,Spongeable during hanging,"EU: B-s1, d0; US: Class A"
97890,Abstract floral,"105 cm (41.34"")",,"175 cm (68.90"")",,Non-woven backing,Paste the wall,Spongeable during hanging (dab away damp glue),"EU: B-s1, d0; US: Class A"
97900,Abstract botanical,"130 cm (51.18"")",,"125 cm (49.21"")",,Non-woven backing,Paste the wall,Spongeable during hanging (dab away damp glue),"EU: D-s1, d0; US: Class A"
90515A,Drop match,"120 cm (47.24"")",,"246 cm (96.85"")","123 cm (48.43"")",Non-woven backing,Paste the wall,Spongeable during hanging (dab away damp glue),"EU: B-s1, d0; US: Class A"
18330,Panoramic,200 cm,300 cm,300 cm,,Vinyl on paper backing,Paste the wall and moisten the wallcovering or paste the wallcovering.,Extra-washable,"EU: B-s2, d0; US: Class A"
18321,Panoramic,100 cm,330 cm,Straight match 330 cm,,Vinyl on paper backing,Method 1: paste the wall and moisten the wallcovering. Method 2: paste the wallcovering.,Peelable,"EU: B-s2, d0; US: Class A"
18360,Free match,1 m,10 m,0 cm,0 cm,Paper backing,Method 1: paste the wall and moisten the wallcovering. Method 2: paste the wallcovering.,Extra-washable,"EU: B-s2, d0; US: Class A"
18340,"Plain with the elegant, airy look of handwoven linen",1 m,10 m,0 cm,0 cm,Vinyl wallpaper on paper backing,Method 1: paste the wall and moisten the wallcovering. Method 2: paste the wallcovering.,Extra-washable,"EU: B-s2, d0; US: Class A"
18310,Abstract flower design,"1 m (39.37"")",10 m,"45 cm (17.72"")",,Vinyl on paper backing,Method 1: paste the wall and moisten the wallcovering. Method 2: paste the wallcovering.,Extra-washable,"EU: B-s2, d0; US: Class A"
18300,Arch pattern,"1 m (39.37"")",10 m (11 yds),"90 cm (35.43"")",,Vinyl wallpaper on paper backing,Method 1: paste the wall and moisten the wallcovering. Method 2: paste the wallcovering.,Extra-washable,"EU: B-s2, d0; US: Class A"
23420,Ibis,124 cm,300 cm,124 cm,300 cm,non-woven backing,Paste the wall,Spongeable during hanging (dab away damp glue),"EU: C-s1, d0; US: Class A"
23440,Geometric,"113 cm (44.49"")",Sold by the linear metre/yard,"95 cm (37.40"")","47.5 cm (18.70"")",Non-woven backing,Paste the wall,Spongeable during hanging (dab away damp glue),"EU: C-s1, d0; US: Class A"
23430,Inspired by the distinctive texture of the palm trunk,"122 cm (48.03"")",,"0 cm (0.00"")","0 cm (0.00"")",Non-woven backing,Paste the wall,Spongeable during hanging (dab away damp glue),"EU: C-s1, d0; US: Class A"
23410,Inspired by the breathtaking desert landscape near Memphis with its many pyramids,"113 cm (44.49"")",,"19 cm (7.48"")",,Non-woven backing,Paste the wall,Spongeable during hanging (dab away damp glue),"EU: C-s1, d0; US: Class A"
23400,"Drop match 95/47.5 cm (37.40""/18.70""), or free match","113 cm (44.49"")",,"95 cm (37.4"")","47.5 cm (18.70"")",Non-woven backing,Paste the wall,Spongeable during hanging (dab away damp glue),"EU: C-s1, d0; US: Class A"
48641,Drop match,"100 cm (39.37"")",,"140 cm (55.12"")","70 cm (27.56"")",Non-woven backing,Paste the wall,Spongeable during hanging (dab away damp glue),"EU: B-s1, d0; US: Class A"
48652,Free match,"90 cm (35.43"")",,"0 cm (0.00"")","0 cm (0.00"")",Non-woven backing,"Moisten the product, paste the wall",Spongeable during hanging (dab away damp glue),"EU: B-s1, d0; US: Class A"
29224,Two-tone striped motif,"131 cm (51.57"")",,"0 cm (0.00"")",,Non-woven backing,Paste the wall,Spongeable during hanging (dab away damp glue),"EU: D-s1, d0; US: Class A"
